Vendor,SKU,Warehouse,Supplier_SKU,MOQ,Pack_Size,Max_Order_Qty,Lead_Time_Days,Review_Period_Days,Safety_Stock,Service_Level,Unit_Price,Currency,Minimum_Order_Value,Freight_Free_Threshold,Payment_Terms,Incoterms,Contact_Email,Marketplace,Supplier_City,Supplier_State,GSTIN,Brand,Product_Name,Category,HSN_Code,Article_Type,Gender,Size,Colour,MRP_INR,Typical_Selling_Price_INR,GST_Rate,Return_Allowance_Pct,Lifecycle_Stage,Availability_Status,Launch_Date,End_Of_Life_Date,Marketplace_Seller,Myntra_Product_URL,Price_Captured_On,Catalogue_Data_Provenance,Commercial_Data_Provenance
ZEAL BIZFASHION VENTURES PRIVATE LIMITED,,,ZEAL-GENERAL,72,12,3600,16,7,,0.95,379,INR,90000,180000,Net 30,DDP,zeal@supplier-demo.example,Myntra,Gurugram,Haryana,,,,,,,,,,,,,,,,,,ZEAL BIZFASHION VENTURES PRIVATE LIMITED,,,Public seller name; no product attached,Synthetic demo planning assumption
Treespoon Private Limited,,,TREESPOON-GENERAL,48,12,2400,22,14,,0.95,675,INR,100000,225000,Net 45,DDP,treespoon@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1012A1Z5,,,,,,,,,,,,,,,,,Treespoon Private Limited,,,Public seller name; no product attached,Synthetic demo planning assumption
Supercom Net,,,SUPERCOM-GENERAL,48,12,2400,22,14,,0.95,564,INR,100000,225000,Net 45,DDP,supercom@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1013A1Z5,,,,,,,,,,,,,,,,,Supercom Net,,,Public seller name; no product attached,Synthetic demo planning assumption
SAPPHIRE WOLF FASHION PRIVATE LIMITED,,,SAPPHIRE-GENERAL,48,12,2400,22,14,,0.95,366,INR,100000,225000,Net 45,DDP,sapphire@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1014A1Z5,,,,,,,,,,,,,,,,,SAPPHIRE WOLF FASHION PRIVATE LIMITED,,,Public seller name; no product attached,Synthetic demo planning assumption
KP Leather Associates,,,KPLEATHER-GENERAL,60,10,3000,13,10,,0.95,337,INR,50000,120000,Net 30,DDP,kpleather@supplier-demo.example,Myntra,Kolkata,West Bengal,19DEMOS1015A1Z5,,,,,,,,,,,,,,,,,KP Leather Associates,,,Public seller name; no product attached,Synthetic demo planning assumption
PARUL HANDICRAFTS (P)LTD,,,PARUL-GENERAL,60,10,3000,13,10,,0.95,434,INR,50000,120000,Net 30,DDP,parul@supplier-demo.example,Myntra,Kolkata,West Bengal,19DEMOS1016A1Z5,,,,,,,,,,,,,,,,,PARUL HANDICRAFTS (P)LTD,,,Public seller name; no product attached,Synthetic demo planning assumption
Kastner Leather Trading Pvt Ltd,,,KASTNER-GENERAL,60,10,3000,13,10,,0.95,207,INR,50000,120000,Net 30,DDP,kastner@supplier-demo.example,Myntra,Kolkata,West Bengal,19DEMOS1017A1Z5,,,,,,,,,,,,,,,,,Kastner Leather Trading Pvt Ltd,,,Public seller name; no product attached,Synthetic demo planning assumption
CROSSROADS CLOTHING PVT LTD,,,CROSSROADS-GENERAL,100,20,4000,14,7,,0.95,228,INR,60000,150000,Net 30,DDP,crossroads@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1018A1Z5,,,,,,,,,,,,,,,,,CROSSROADS CLOTHING PVT LTD,,,Public seller name; no product attached,Synthetic demo planning assumption
Omnitech Retail,,,OMNITECH-GENERAL,100,20,4000,14,7,,0.95,478,INR,60000,150000,Net 30,DDP,omnitech@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1019A1Z5,,,,,,,,,,,,,,,,,Omnitech Retail,,,Public seller name; no product attached,Synthetic demo planning assumption
Nyraa Young Cosmetics Private Limited,,,NYRAA-GENERAL,120,24,6000,12,7,,0.95,145,INR,50000,125000,Net 30,DDP,nyraa@supplier-demo.example,Myntra,Mumbai,Maharashtra,27DEMOS1020A1Z5,,,,,,,,,,,,,,,,,Nyraa Young Cosmetics Private Limited,,,Public seller name; no product attached,Synthetic demo planning assumption
HONASA CONSUMER - SJIT,,,HONASA-GENERAL,120,24,6000,12,7,,0.95,124,INR,50000,125000,Net 30,DDP,honasa@supplier-demo.example,Myntra,Mumbai,Maharashtra,27DEMOS1021A1Z5,,,,,,,,,,,,,,,,,HONASA CONSUMER - SJIT,,,Public seller name; no product attached,Synthetic demo planning assumption
INDRA FAB PRIVATE LIMITED,,,INDRA-GENERAL,40,5,1800,20,14,,0.95,772,INR,75000,160000,Net 45,DDP,indra@supplier-demo.example,Myntra,Panipat,Haryana,,,,,,,,,,,,,,,,,,INDRA FAB PRIVATE LIMITED,,,Public seller name; no product attached,Synthetic demo planning assumption
FASHION DECOR,,,FASHIONDECOR-GENERAL,40,5,1800,20,14,,0.95,345,INR,75000,160000,Net 45,DDP,fashiondecor@supplier-demo.example,Myntra,Panipat,Haryana,06DEMOS1023A1Z5,,,,,,,,,,,,,,,,,FASHION DECOR,,,Public seller name; no product attached,Synthetic demo planning assumption
GARG ACRYLICS LTD.,MYN-3314131-M,BLR_FC,DEMO-3314131-M,100,20,4000,14,7,500,0.98,124,INR,60000,150000,Net 30,DDP,garg@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1001A1Z5,Roadster,Roadster Men Black Solid Round Neck T-shirt,Men Western Wear,6109,T-shirts,Men,M,Black,299,239,12,9,Growth,Active,2025-01-01,,GARG ACRYLICS LTD.,https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/3314131/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
GARG ACRYLICS LTD.,MYN-3314131-M,DEL_FC,DEMO-3314131-M,100,20,4000,14,7,400,0.95,124,INR,60000,150000,Net 30,DDP,garg@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1001A1Z5,Roadster,Roadster Men Black Solid Round Neck T-shirt,Men Western Wear,6109,T-shirts,Men,M,Black,299,239,12,9,Core,Active,2025-01-01,,GARG ACRYLICS LTD.,https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/3314131/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
AR FASHION STUDIO,MYN-7139482-32,MUM_FC,DEMO-7139482-32,100,20,4000,14,7,240,0.95,379,INR,60000,150000,Net 30,DDP,arf@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1002A1Z5,Roadster,Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Men Western Wear,6203,Jeans,Men,32,Black,1699,729,12,12,Core,Active,2025-01-01,,AR FASHION STUDIO,https://www.myntra.com/jeans/roadster/roadster-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/7139482/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
AR FASHION STUDIO,MYN-7139482-34,BLR_FC,DEMO-7139482-34,100,20,4000,14,7,120,0.95,379,INR,60000,150000,Net 30,DDP,arf@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1002A1Z5,Roadster,Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Men Western Wear,6203,Jeans,Men,34,Black,1699,729,12,13,Markdown,Active,2025-01-01,,AR FASHION STUDIO,https://www.myntra.com/jeans/roadster/roadster-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/7139482/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Truenet Commerce,MYN-21422548-L,KOL_FC,DEMO-21422548-L,100,20,4000,14,7,200,0.95,99,INR,60000,150000,Net 30,DDP,truenet@supplier-demo.example,Myntra,Bengaluru,Karnataka,,Roadster,Roadster Men T-shirt,Men Western Wear,6109,T-shirts,Men,L,As listed,399,191,12,10,Launch,Active,2026-07-05,,Truenet Commerce,https://www.myntra.com/tshirts/roadster/roadster-men-t-shirt/21422548/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
M/S IBA CRAFTS PRIVATE LIMITED,MYN-20721342-M,MUM_FC,DEMO-20721342-M,100,20,4000,14,7,200,0.98,580,INR,60000,150000,Net 30,DDP,iba@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1004A1Z5,DressBerry,DressBerry Pink Floral Midi Dress,Women Western Wear,6204,Dresses,Women,M,Pink,3099,1116,12,34,Core,Active,2025-01-01,,M/S IBA CRAFTS PRIVATE LIMITED,https://www.myntra.com/dresses/dressberry/dressberry-pink-floral-midi-dress/20721342/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
M/S IBA CRAFTS PRIVATE LIMITED,MYN-20721342-M,BLR_FC,DEMO-20721342-M,100,20,4000,14,7,180,0.95,580,INR,60000,150000,Net 30,DDP,iba@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1004A1Z5,DressBerry,DressBerry Pink Floral Midi Dress,Women Western Wear,6204,Dresses,Women,M,Pink,3099,1116,12,22,Core,Active,2025-01-01,,M/S IBA CRAFTS PRIVATE LIMITED,https://www.myntra.com/dresses/dressberry/dressberry-pink-floral-midi-dress/20721342/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Vision Star,MYN-32016912-S,KOL_FC,DEMO-32016912-S,100,20,4000,14,7,360,0.95,149,INR,60000,150000,Net 30,DDP,vision@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1005A1Z5,DressBerry,DressBerry Square Neck Top,Women Western Wear,6106,Tops,Women,S,As listed,699,286,12,18,Core,Active,2025-01-01,,Vision Star,https://www.myntra.com/tops/dressberry/dressberry-square-neck-top/32016912/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Vision Star,MYN-32016912-M,DEL_FC,DEMO-32016912-M,100,20,4000,14,7,280,0.95,149,INR,60000,150000,Net 30,DDP,vision@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1005A1Z5,DressBerry,DressBerry Square Neck Top,Women Western Wear,6106,Tops,Women,M,As listed,699,286,12,18,Core,Paused,2025-01-01,,Vision Star,https://www.myntra.com/tops/dressberry/dressberry-square-neck-top/32016912/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
WHITE IMPACT,MYN-39808527-L,BLR_FC,DEMO-39808527-L,100,20,4000,14,7,420,0.98,319,INR,60000,150000,Net 30,DDP,white@supplier-demo.example,Myntra,Bengaluru,Karnataka,,DressBerry,DressBerry Top,Women Western Wear,6106,Tops,Women,L,As listed,1999,614,12,17,Core,Active,2025-01-01,,WHITE IMPACT,https://www.myntra.com/tops/dressberry/dressberry-top/39808527/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Astitva Creations Private Limited,MYN-38471815-M,DEL_FC,DEMO-38471815-M,80,10,3000,18,10,280,0.95,294,INR,80000,175000,Net 45,DDP,astitva@supplier-demo.example,Myntra,Jaipur,Rajasthan,08DEMOS1007A1Z5,Anouk,Anouk Women Kurta,Women Ethnic Wear,6211,Kurtas,Women,M,As listed,1999,566,12,16,Core,Active,2025-01-01,,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-kurta/38471815/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Astitva Creations Private Limited,MYN-38471815-M,KOL_FC,DEMO-38471815-M,80,10,3000,18,10,200,0.95,294,INR,80000,175000,Net 45,DDP,astitva@supplier-demo.example,Myntra,Jaipur,Rajasthan,08DEMOS1007A1Z5,Anouk,Anouk Women Kurta,Women Ethnic Wear,6211,Kurtas,Women,M,As listed,1999,566,12,17,Core,Active,2025-01-01,,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-kurta/38471815/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Astitva Creations Private Limited,MYN-34530975-L,MUM_FC,DEMO-34530975-L,80,10,3000,18,10,190,0.99,291,INR,80000,175000,Net 45,DDP,astitva@supplier-demo.example,Myntra,Jaipur,Rajasthan,08DEMOS1007A1Z5,Anouk,Anouk Women Ethnic Motifs Embroidered A-Line Kurta,Women Ethnic Wear,6211,Kurtas,Women,L,As listed,1799,559,12,19,Core,Active,2025-01-01,,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-ethnic-motifs-embroidered-a-line-kurta/34530975/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Astitva Creations Private Limited,MYN-34530975-XL,BLR_FC,DEMO-34530975-XL,80,10,3000,18,10,100,0.95,291,INR,80000,175000,Net 45,DDP,astitva@supplier-demo.example,Myntra,Jaipur,Rajasthan,08DEMOS1007A1Z5,Anouk,Anouk Women Ethnic Motifs Embroidered A-Line Kurta,Women Ethnic Wear,6211,Kurtas,Women,XL,As listed,1799,559,12,18,Core,Active,2025-01-01,,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-ethnic-motifs-embroidered-a-line-kurta/34530975/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
KEEV LIFESTYLES PRIVATE LIMITED,MYN-30534878-OS,DEL_FC,DEMO-30534878-OS,80,10,3000,18,10,70,0.95,527,INR,80000,175000,Net 45,DDP,keev@supplier-demo.example,Myntra,Jaipur,Rajasthan,,Anouk,Anouk Saree,Women Ethnic Wear,5007,Sarees,Women,One Size,As listed,4799,1014,12,14,Core,Active,2025-01-01,,KEEV LIFESTYLES PRIVATE LIMITED,https://www.myntra.com/sarees/anouk/anouk-saree/30534878/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
SANGAM (INDIA) LIMITED,MYN-13346136-M,MUM_FC,DEMO-13346136-M,72,12,3600,16,7,216,0.95,258,INR,90000,180000,Net 30,DDP,sangam@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1009A1Z5,HRX by Hrithik Roshan,HRX Women Skinny Fit Seamless Rapid-Dry Antimicrobial Yoga Tights,Sports Wear,6104,Tights,Women,M,As listed,1699,496,12,16,Core,Active,2025-01-01,,SANGAM (INDIA) LIMITED,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-skinny-fit-seamless-rapid-dry-antimicrobial-yoga-tights/13346136/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
SANGAM (INDIA) LIMITED,MYN-13346136-M,BLR_FC,DEMO-13346136-M,72,12,3600,16,7,204,0.95,258,INR,90000,180000,Net 30,DDP,sangam@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1009A1Z5,HRX by Hrithik Roshan,HRX Women Skinny Fit Seamless Rapid-Dry Antimicrobial Yoga Tights,Sports Wear,6104,Tights,Women,M,As listed,1699,496,12,16,Core,Active,2025-01-01,,SANGAM (INDIA) LIMITED,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-skinny-fit-seamless-rapid-dry-antimicrobial-yoga-tights/13346136/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
GURKIRPA LIFESTYLE COMPANY,MYN-25587450-L,DEL_FC,DEMO-25587450-L,72,12,3600,16,7,144,0.95,257,INR,90000,180000,Net 30,DDP,gurkirpa@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1010A1Z5,HRX by Hrithik Roshan,HRX Women Mid Rise Tights,Sports Wear,6104,Tights,Women,L,As listed,1499,494,12,15,Core,Active,2025-01-01,,GURKIRPA LIFESTYLE COMPANY,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-mid-rise-tights/25587450/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
GURKIRPA LIFESTYLE COMPANY,MYN-25587450-L,KOL_FC,DEMO-25587450-L,72,12,3600,16,7,96,0.95,257,INR,90000,180000,Net 30,DDP,gurkirpa@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1010A1Z5,HRX by Hrithik Roshan,HRX Women Mid Rise Tights,Sports Wear,6104,Tights,Women,L,As listed,1499,494,12,15,Core,Active,2025-01-01,,GURKIRPA LIFESTYLE COMPANY,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-mid-rise-tights/25587450/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
ZEAL BIZFASHION VENTURES PRIVATE LIMITED,MYN-42042400-32,BLR_FC,DEMO-42042400-32,72,12,3600,16,7,192,0.95,379,INR,90000,180000,Net 30,DDP,zeal@supplier-demo.example,Myntra,Gurugram,Haryana,,HRX by Hrithik Roshan,HRX Men Shorts,Sports Wear,6103,Shorts,Men,32,As listed,1798,728,12,11,Launch,Active,2026-07-08,,ZEAL BIZFASHION VENTURES PRIVATE LIMITED,https://www.myntra.com/shorts/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-shorts/42042400/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Treespoon Private Limited,MYN-40200375-UK8,MUM_FC,DEMO-40200375-UK8,48,12,2400,22,14,144,0.95,675,INR,100000,225000,Net 45,DDP,treespoon@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1012A1Z5,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,6404,Sports Shoes,Men,UK 8,As listed,3999,1299,18,20,Core,Active,2025-01-01,,Treespoon Private Limited,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/40200375/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Treespoon Private Limited,MYN-40200375-UK8,DEL_FC,DEMO-40200375-UK8,48,12,2400,22,14,96,0.95,675,INR,100000,225000,Net 45,DDP,treespoon@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1012A1Z5,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,6404,Sports Shoes,Men,UK 8,As listed,3999,1299,18,20,Core,Active,2025-01-01,,Treespoon Private Limited,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/40200375/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Supercom Net,MYN-36220389-UK9,BLR_FC,DEMO-36220389-UK9,48,12,2400,22,14,180,0.95,564,INR,100000,225000,Net 45,DDP,supercom@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1013A1Z5,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,6404,Sports Shoes,Men,UK 9,As listed,3499,1084,18,19,Core,Active,2025-01-01,,Supercom Net,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/36220389/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Supercom Net,MYN-36220389-UK9,MUM_FC,DEMO-36220389-UK9,48,12,2400,22,14,132,0.95,564,INR,100000,225000,Net 45,DDP,supercom@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1013A1Z5,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,6404,Sports Shoes,Men,UK 9,As listed,3499,1084,18,20,Core,Active,2025-01-01,,Supercom Net,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/36220389/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
SAPPHIRE WOLF FASHION PRIVATE LIMITED,MYN-31026146-UK6,KOL_FC,DEMO-31026146-UK6,48,12,2400,22,14,60,0.95,366,INR,100000,225000,Net 45,DDP,sapphire@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1014A1Z5,Roadster,Roadster Women PU Stylish Casual Lightweight Comfort Sneaker,Footwear,6404,Casual Shoes,Women,UK 6,As listed,2499,704,18,21,Markdown,Active,2025-01-01,,SAPPHIRE WOLF FASHION PRIVATE LIMITED,https://www.myntra.com/casual-shoes/roadster/roadster-women-pu-stylish-casual-lightweight-comfort-sneaker/31026146/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
KP Leather Associates,MYN-18774016-OS,MUM_FC,DEMO-18774016-OS,60,10,3000,13,10,60,0.95,337,INR,50000,120000,Net 30,DDP,kpleather@supplier-demo.example,Myntra,Kolkata,West Bengal,19DEMOS1015A1Z5,Roadster,Roadster X fwd Unisex Black Backpacks 30 L,Accessories,4202,Backpacks,Unisex,One Size,Black,2499,649,12,8,Core,Active,2025-01-01,,KP Leather Associates,https://www.myntra.com/backpacks/roadster/-roadster-unisex-black-backpacks/18774016/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
PARUL HANDICRAFTS (P)LTD,MYN-33559982-OS,DEL_FC,DEMO-33559982-OS,60,10,3000,13,10,170,0.95,434,INR,50000,120000,Net 30,DDP,parul@supplier-demo.example,Myntra,Kolkata,West Bengal,19DEMOS1016A1Z5,DressBerry,DressBerry Women Black Embellished Floral Satin Handbag,Accessories,4202,Handbags,Women,One Size,Black,2199,835,12,9,Core,Active,2025-01-01,,PARUL HANDICRAFTS (P)LTD,https://www.myntra.com/handbags/dressberry/dressberry-women-black-embellished-floral-satin-handbag-/33559982/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Kastner Leather Trading Pvt Ltd,MYN-23839854-34,BLR_FC,DEMO-23839854-34,60,10,3000,13,10,60,0.95,207,INR,50000,120000,Net 30,DDP,kastner@supplier-demo.example,Myntra,Kolkata,West Bengal,19DEMOS1017A1Z5,Mast & Harbour,Mast & Harbour Men Black Slim Formal Belt,Accessories,4203,Belts,Men,34,Black,1999,399,12,7,End of Life,Active,2025-01-01,2026-07-31,Kastner Leather Trading Pvt Ltd,https://www.myntra.com/belts/mastharbour/mast--harbour-men-black-slim-formal-belt/23839854/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
CROSSROADS CLOTHING PVT LTD,MYN-24541476-7-8Y,DEL_FC,DEMO-24541476-7-8Y,100,20,4000,14,7,360,0.95,228,INR,60000,150000,Net 30,DDP,crossroads@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1018A1Z5,YK,YK Boys Typography Printed Pure Cotton Oversized Fit Casual T-shirt,Kids Wear,6109,T-shirts,Boys,7-8Y,As listed,1295,439,12,11,Core,Active,2025-01-01,,CROSSROADS CLOTHING PVT LTD,https://www.myntra.com/tshirts/yk/yk-boys-typography-printed-pure-cotton-oversized-fit-casual-t-shirt/24541476/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
CROSSROADS CLOTHING PVT LTD,MYN-24541476-7-8Y,KOL_FC,DEMO-24541476-7-8Y,100,20,4000,14,7,260,0.95,228,INR,60000,150000,Net 30,DDP,crossroads@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1018A1Z5,YK,YK Boys Typography Printed Pure Cotton Oversized Fit Casual T-shirt,Kids Wear,6109,T-shirts,Boys,7-8Y,As listed,1295,439,12,11,Core,Active,2025-01-01,,CROSSROADS CLOTHING PVT LTD,https://www.myntra.com/tshirts/yk/yk-boys-typography-printed-pure-cotton-oversized-fit-casual-t-shirt/24541476/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
Omnitech Retail,MYN-42034038-9-10Y,MUM_FC,DEMO-42034038-9-10Y,100,20,4000,14,7,140,0.95,478,INR,60000,150000,Net 30,DDP,omnitech@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1019A1Z5,YK,YK Boys Printed T-shirt,Kids Wear,6109,T-shirts,Boys,9-10Y,As listed,2299,919,12,12,Markdown,Active,2025-01-01,,Omnitech Retail,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/42034038/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
