Category,Style_ID,Brand,Product_Name,Article_Type,Gender,MRP_INR,Selling_Price_INR,Marketplace_Seller,Myntra_Product_URL,Price_Captured_On,Catalogue_Data_Provenance,Commercial_Data_Provenance
Accessories,23839854,Mast & Harbour,Mast & Harbour Men Black Slim Formal Belt,Belts,Men,1999,399,Kastner Leather Trading Pvt Ltd,https://www.myntra.com/belts/mastharbour/mast--harbour-men-black-slim-formal-belt/23839854/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Kids Wear,24541476,YK,YK Boys Typography Printed Pure Cotton Oversized Fit Casual T-shirt,T-shirts,Boys,1295,439,CROSSROADS CLOTHING PVT LTD,https://www.myntra.com/tshirts/yk/yk-boys-typography-printed-pure-cotton-oversized-fit-casual-t-shirt/24541476/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Kids Wear,42034038,YK,YK Boys Printed T-shirt,T-shirts,Boys,2299,919,Omnitech Retail,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/42034038/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Kids Wear,32465313,YK,YK Girls Floral Fit & Flare Dress,Dresses,Girls,1599,639,Omnitech Retail,https://www.myntra.com/dresses/yk/yk-girls-floral-fit--flare-dress/32465313/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Beauty & Personal Care,32619377,nandiayan,nandiayan Women Liquid Lipstick Set of 12 Smudge Proof Matte Shades – 2.5 ml Each,Lipstick,Women,455,278,Nyraa Young Cosmetics Private Limited,https://www.myntra.com/lipstick/nandiayan/nandiayan-women-liquid-lipstick-set-of-12-smudge-proof-matte-shades--25ml-each/32619377/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Beauty & Personal Care,27916434,ETUDE,ETUDE Dear Darling Water Tint 9g – Red Grapefruit Ade 4,Lip Tint,Women,450,382,Supercom Net,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-tint-9g---red-grapefruit-ade-4/27916434/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Beauty & Personal Care,28546552,Mamaearth,Mamaearth Creamy Matte Long Stay Lipstick With Murumuru Butter – Apricot Taupe,Lipstick,Women,399,239,HONASA CONSUMER - SJIT,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---apricot-taupe/28546552/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Home & Living,19917876,KLOTTHE,KLOTTHE Ruby Blue Conversational Cotton 300 TC King Fine Bedsheet with 2 Pillow Covers – 250 × 220 cm,Bedsheets,Home,2999,359,Supercom Net,https://www.myntra.com/bedsheets/klotthe/klotthe-ruby-blue-conversational-cotton-300-tc-king-fine-bedsheet-with-2-pillow-covers-250-x-220-cm/19917876/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Home & Living,38831890,Sangria,Sangria Blue 300 TC King Double Bedsheet With 2 Pillow Covers – 2.74 m × 2.74 m,Bedsheets,Home,4499,1484,INDRA FAB PRIVATE LIMITED,https://www.myntra.com/bedsheets/sangria/sangria-blue-300-tc-king-double-bedsheet-with-2-pillow-covers-274-m-x-274-m/38831890/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Home & Living,38606077,FABINALIV,FABINALIV Off White Cartoon Print 300 TC King Bedsheet with 2 Pillow Covers,Bedsheets,Home,3329,664,FASHION DECOR,https://www.myntra.com/bedsheets/fabinaliv/fabinaliv-off-white-cartoon-print-300-tc-king-bedsheet-with-2-pillow-covers/38606077/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
