SKU,Vendor,Warehouse,Snapshot_Date,Current_Inventory,Reserved_Qty,Backorder_Qty,Marketplace,Brand,Product_Name,Category,Style_ID,Article_Type,Gender,Size,Colour,MRP_INR,Selling_Price_INR,Inventory_Value_INR,Stock_Cover_Target_Days,Lifecycle_Stage,Availability_Status,Launch_Date,End_Of_Life_Date,Marketplace_Seller,Myntra_Product_URL,Price_Captured_On,Catalogue_Data_Provenance,Commercial_Data_Provenance
MYN-38471815-M,Astitva Creations Private Limited,DEL_FC,2026-08-01,228,57,0,Myntra,Anouk,Anouk Women Kurta,Women Ethnic Wear,38471815,Kurtas,Women,M,As listed,1999,566,67032,10,Core,Active,2025-01-01,,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-kurta/38471815/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-38471815-M,Astitva Creations Private Limited,KOL_FC,2026-08-01,325,36,0,Myntra,Anouk,Anouk Women Kurta,Women Ethnic Wear,38471815,Kurtas,Women,M,As listed,1999,566,95550,18,Core,Active,2025-01-01,,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-kurta/38471815/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-34530975-L,Astitva Creations Private Limited,MUM_FC,2026-08-01,66,32,13,Myntra,Anouk,Anouk Women Ethnic Motifs Embroidered A-Line Kurta,Women Ethnic Wear,34530975,Kurtas,Women,L,As listed,1799,559,19206,5,Core,Active,2025-01-01,,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-ethnic-motifs-embroidered-a-line-kurta/34530975/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-34530975-XL,Astitva Creations Private Limited,BLR_FC,2026-08-01,402,16,0,Myntra,Anouk,Anouk Women Ethnic Motifs Embroidered A-Line Kurta,Women Ethnic Wear,34530975,Kurtas,Women,XL,As listed,1799,559,116982,38,Core,Active,2025-01-01,,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-ethnic-motifs-embroidered-a-line-kurta/34530975/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-30534878-OS,KEEV LIFESTYLES PRIVATE LIMITED,DEL_FC,2026-08-01,216,9,0,Myntra,Anouk,Anouk Saree,Women Ethnic Wear,30534878,Sarees,Women,One Size,As listed,4799,1014,113832,28,Core,Active,2025-01-01,,KEEV LIFESTYLES PRIVATE LIMITED,https://www.myntra.com/sarees/anouk/anouk-saree/30534878/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-13346136-M,SANGAM (INDIA) LIMITED,MUM_FC,2026-08-01,271,39,0,Myntra,HRX by Hrithik Roshan,HRX Women Skinny Fit Seamless Rapid-Dry Antimicrobial Yoga Tights,Sports Wear,13346136,Tights,Women,M,As listed,1699,496,69918,14,Core,Active,2025-01-01,,SANGAM (INDIA) LIMITED,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-skinny-fit-seamless-rapid-dry-antimicrobial-yoga-tights/13346136/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-13346136-M,SANGAM (INDIA) LIMITED,BLR_FC,2026-08-01,119,41,0,Myntra,HRX by Hrithik Roshan,HRX Women Skinny Fit Seamless Rapid-Dry Antimicrobial Yoga Tights,Sports Wear,13346136,Tights,Women,M,As listed,1699,496,30702,7,Core,Active,2025-01-01,,SANGAM (INDIA) LIMITED,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-skinny-fit-seamless-rapid-dry-antimicrobial-yoga-tights/13346136/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-25587450-L,GURKIRPA LIFESTYLE COMPANY,DEL_FC,2026-08-01,118,26,0,Myntra,HRX by Hrithik Roshan,HRX Women Mid Rise Tights,Sports Wear,25587450,Tights,Women,L,As listed,1499,494,30326,9,Core,Active,2025-01-01,,GURKIRPA LIFESTYLE COMPANY,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-mid-rise-tights/25587450/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-25587450-L,GURKIRPA LIFESTYLE COMPANY,KOL_FC,2026-08-01,269,16,0,Myntra,HRX by Hrithik Roshan,HRX Women Mid Rise Tights,Sports Wear,25587450,Tights,Women,L,As listed,1499,494,69133,26,Core,Active,2025-01-01,,GURKIRPA LIFESTYLE COMPANY,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-mid-rise-tights/25587450/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-42042400-32,ZEAL BIZFASHION VENTURES PRIVATE LIMITED,BLR_FC,2026-08-01,167,33,0,Myntra,HRX by Hrithik Roshan,HRX Men Shorts,Sports Wear,42042400,Shorts,Men,32,As listed,1798,728,63293,10,Launch,Active,2026-07-08,,ZEAL BIZFASHION VENTURES PRIVATE LIMITED,https://www.myntra.com/shorts/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-shorts/42042400/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-40200375-UK8,Treespoon Private Limited,MUM_FC,2026-08-01,72,18,0,Myntra,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,40200375,Sports Shoes,Men,UK 8,As listed,3999,1299,48600,7,Core,Active,2025-01-01,,Treespoon Private Limited,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/40200375/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-40200375-UK8,Treespoon Private Limited,DEL_FC,2026-08-01,140,12,0,Myntra,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,40200375,Sports Shoes,Men,UK 8,As listed,3999,1299,94500,17,Core,Active,2025-01-01,,Treespoon Private Limited,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/40200375/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-36220389-UK9,Supercom Net,BLR_FC,2026-08-01,135,33,0,Myntra,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,36220389,Sports Shoes,Men,UK 9,As listed,3499,1084,76140,9,Core,Active,2025-01-01,,Supercom Net,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/36220389/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-36220389-UK9,Supercom Net,MUM_FC,2026-08-01,332,18,0,Myntra,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,36220389,Sports Shoes,Men,UK 9,As listed,3499,1084,187248,27,Core,Active,2025-01-01,,Supercom Net,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/36220389/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-31026146-UK6,SAPPHIRE WOLF FASHION PRIVATE LIMITED,KOL_FC,2026-08-01,439,7,0,Myntra,Roadster,Roadster Women PU Stylish Casual Lightweight Comfort Sneaker,Footwear,31026146,Casual Shoes,Women,UK 6,As listed,2499,704,160674,64,Markdown,Active,2025-01-01,,SAPPHIRE WOLF FASHION PRIVATE LIMITED,https://www.myntra.com/casual-shoes/roadster/roadster-women-pu-stylish-casual-lightweight-comfort-sneaker/31026146/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-18774016-OS,KP Leather Associates,MUM_FC,2026-08-01,82,11,0,Myntra,Roadster,Roadster X fwd Unisex Black Backpacks 30 L,Accessories,18774016,Backpacks,Unisex,One Size,Black,2499,649,27634,13,Core,Active,2025-01-01,,KP Leather Associates,https://www.myntra.com/backpacks/roadster/-roadster-unisex-black-backpacks/18774016/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-33559982-OS,PARUL HANDICRAFTS (P)LTD,DEL_FC,2026-08-01,117,33,0,Myntra,DressBerry,DressBerry Women Black Embellished Floral Satin Handbag,Accessories,33559982,Handbags,Women,One Size,Black,2199,835,50778,7,Core,Active,2025-01-01,,PARUL HANDICRAFTS (P)LTD,https://www.myntra.com/handbags/dressberry/dressberry-women-black-embellished-floral-satin-handbag-/33559982/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-23839854-34,Kastner Leather Trading Pvt Ltd,BLR_FC,2026-08-01,512,8,0,Myntra,Mast & Harbour,Mast & Harbour Men Black Slim Formal Belt,Accessories,23839854,Belts,Men,34,Black,1999,399,105984,62,End of Life,Active,2025-01-01,2026-07-31,Kastner Leather Trading Pvt Ltd,https://www.myntra.com/belts/mastharbour/mast--harbour-men-black-slim-formal-belt/23839854/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-24541476-7-8Y,CROSSROADS CLOTHING PVT LTD,DEL_FC,2026-08-01,173,63,0,Myntra,YK,YK Boys Typography Printed Pure Cotton Oversized Fit Casual T-shirt,Kids Wear,24541476,T-shirts,Boys,7-8Y,As listed,1295,439,39444,6,Core,Active,2025-01-01,,CROSSROADS CLOTHING PVT LTD,https://www.myntra.com/tshirts/yk/yk-boys-typography-printed-pure-cotton-oversized-fit-casual-t-shirt/24541476/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-24541476-7-8Y,CROSSROADS CLOTHING PVT LTD,KOL_FC,2026-08-01,491,37,0,Myntra,YK,YK Boys Typography Printed Pure Cotton Oversized Fit Casual T-shirt,Kids Wear,24541476,T-shirts,Boys,7-8Y,As listed,1295,439,111948,20,Core,Active,2025-01-01,,CROSSROADS CLOTHING PVT LTD,https://www.myntra.com/tshirts/yk/yk-boys-typography-printed-pure-cotton-oversized-fit-casual-t-shirt/24541476/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-42034038-9-10Y,Omnitech Retail,MUM_FC,2026-08-01,766,19,0,Myntra,YK,YK Boys Printed T-shirt,Kids Wear,42034038,T-shirts,Boys,9-10Y,As listed,2299,919,366148,48,Markdown,Active,2025-01-01,,Omnitech Retail,https://www.myntra.com/tshirts/yk/yk-boys-printed-t-shirt/42034038/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-32465313-10-11Y,Omnitech Retail,BLR_FC,2026-08-01,282,51,0,Myntra,YK,YK Girls Floral Fit & Flare Dress,Kids Wear,32465313,Dresses,Girls,10-11Y,Floral,1599,639,93624,11,Launch,Active,2026-07-05,,Omnitech Retail,https://www.myntra.com/dresses/yk/yk-girls-floral-fit--flare-dress/32465313/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-32619377-OS,Nyraa Young Cosmetics Private Limited,BLR_FC,2026-08-01,127,8,0,Myntra,nandiayan,nandiayan Women Liquid Lipstick Set of 12 Smudge Proof Matte Shades – 2.5 ml Each,Beauty & Personal Care,32619377,Lipstick,Women,One Size,Multi,455,278,18415,16,Core,Active,2025-01-01,,Nyraa Young Cosmetics Private Limited,https://www.myntra.com/lipstick/nandiayan/nandiayan-women-liquid-lipstick-set-of-12-smudge-proof-matte-shades--25ml-each/32619377/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-27916434-OS,Supercom Net,DEL_FC,2026-08-01,134,67,0,Myntra,ETUDE,ETUDE Dear Darling Water Tint 9g – Red Grapefruit Ade 4,Beauty & Personal Care,27916434,Lip Tint,Women,One Size,Red Grapefruit,450,382,26666,5,Core,Active,2025-01-01,,Supercom Net,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-tint-9g---red-grapefruit-ade-4/27916434/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-28546552-OS,HONASA CONSUMER - SJIT,MUM_FC,2026-08-01,612,7,0,Myntra,Mamaearth,Mamaearth Creamy Matte Long Stay Lipstick With Murumuru Butter – Apricot Taupe,Beauty & Personal Care,28546552,Lipstick,Women,One Size,Apricot Taupe,399,239,75888,72,Markdown,Active,2025-01-01,,HONASA CONSUMER - SJIT,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---apricot-taupe/28546552/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-19917876-KING,Supercom Net,KOL_FC,2026-08-01,49,4,0,Myntra,KLOTTHE,KLOTTHE Ruby Blue Conversational Cotton 300 TC King Fine Bedsheet with 2 Pillow Covers – 250 × 220 cm,Home & Living,19917876,Bedsheets,Home,King,Ruby Blue,2999,359,9163,12,Core,Active,2025-01-01,,Supercom Net,https://www.myntra.com/bedsheets/klotthe/klotthe-ruby-blue-conversational-cotton-300-tc-king-fine-bedsheet-with-2-pillow-covers-250-x-220-cm/19917876/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-38831890-KING,INDRA FAB PRIVATE LIMITED,BLR_FC,2026-08-01,45,11,0,Myntra,Sangria,Sangria Blue 300 TC King Double Bedsheet With 2 Pillow Covers – 2.74 m × 2.74 m,Home & Living,38831890,Bedsheets,Home,King,Blue,4499,1484,34740,6,Core,Active,2025-01-01,,INDRA FAB PRIVATE LIMITED,https://www.myntra.com/bedsheets/sangria/sangria-blue-300-tc-king-double-bedsheet-with-2-pillow-covers-274-m-x-274-m/38831890/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-38606077-KING,FASHION DECOR,DEL_FC,2026-08-01,192,1,0,Myntra,FABINALIV,FABINALIV Off White Cartoon Print 300 TC King Bedsheet with 2 Pillow Covers,Home & Living,38606077,Bedsheets,Home,King,Off White,3329,664,66240,88,End of Life,Active,2025-01-01,2026-07-31,FASHION DECOR,https://www.myntra.com/bedsheets/fabinaliv/fabinaliv-off-white-cartoon-print-300-tc-king-bedsheet-with-2-pillow-covers/38606077/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
