SKU,Vendor,Warehouse,Open_PO_Qty,Expected_Date,PO_Number,Status,Currency,Unit_Cost_INR,PO_Value_INR,Marketplace,Brand,Product_Name,Category,Size,Colour,Style_ID,Marketplace_Seller,Myntra_Product_URL,Price_Captured_On,Catalogue_Data_Provenance,Commercial_Data_Provenance
MYN-25587450-L,GURKIRPA LIFESTYLE COMPANY,DEL_FC,216,2026-07-27,MYN-PO-2026-1011,issued,INR,257,55512,Myntra,HRX by Hrithik Roshan,HRX Women Mid Rise Tights,Sports Wear,L,As listed,25587450,GURKIRPA LIFESTYLE COMPANY,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-mid-rise-tights/25587450/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-40200375-UK8,Treespoon Private Limited,MUM_FC,108,2026-07-28,MYN-PO-2026-1012,issued,INR,675,72900,Myntra,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,UK 8,As listed,40200375,Treespoon Private Limited,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/40200375/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-40200375-UK8,Treespoon Private Limited,MUM_FC,336,2026-08-28,MYN-PO-2026-1013,confirmed,INR,675,226800,Myntra,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,UK 8,As listed,40200375,Treespoon Private Limited,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/40200375/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-36220389-UK9,Supercom Net,BLR_FC,396,2026-08-16,MYN-PO-2026-1014,supplier_acknowledged,INR,564,223344,Myntra,HRX by Hrithik Roshan,HRX Men Running Shoes,Footwear,UK 9,As listed,36220389,Supercom Net,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/36220389/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-18774016-OS,KP Leather Associates,MUM_FC,130,2026-08-11,MYN-PO-2026-1015,in_transit,INR,337,43810,Myntra,Roadster,Roadster X fwd Unisex Black Backpacks 30 L,Accessories,One Size,Black,18774016,KP Leather Associates,https://www.myntra.com/backpacks/roadster/-roadster-unisex-black-backpacks/18774016/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-33559982-OS,PARUL HANDICRAFTS (P)LTD,DEL_FC,410,2026-08-13,MYN-PO-2026-1016,supplier_acknowledged,INR,434,177940,Myntra,DressBerry,DressBerry Women Black Embellished Floral Satin Handbag,Accessories,One Size,Black,33559982,PARUL HANDICRAFTS (P)LTD,https://www.myntra.com/handbags/dressberry/dressberry-women-black-embellished-floral-satin-handbag-/33559982/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-24541476-7-8Y,CROSSROADS CLOTHING PVT LTD,DEL_FC,640,2026-08-08,MYN-PO-2026-1017,in_transit,INR,228,145920,Myntra,YK,YK Boys Typography Printed Pure Cotton Oversized Fit Casual T-shirt,Kids Wear,7-8Y,As listed,24541476,CROSSROADS CLOTHING PVT LTD,https://www.myntra.com/tshirts/yk/yk-boys-typography-printed-pure-cotton-oversized-fit-casual-t-shirt/24541476/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-27916434-OS,Supercom Net,DEL_FC,600,2026-08-10,MYN-PO-2026-1018,in_transit,INR,199,119400,Myntra,ETUDE,ETUDE Dear Darling Water Tint 9g – Red Grapefruit Ade 4,Beauty & Personal Care,One Size,Red Grapefruit,27916434,Supercom Net,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-tint-9g---red-grapefruit-ade-4/27916434/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-19917876-KING,Supercom Net,KOL_FC,108,2026-08-15,MYN-PO-2026-1019,confirmed,INR,187,20196,Myntra,KLOTTHE,KLOTTHE Ruby Blue Conversational Cotton 300 TC King Fine Bedsheet with 2 Pillow Covers – 250 × 220 cm,Home & Living,King,Ruby Blue,19917876,Supercom Net,https://www.myntra.com/bedsheets/klotthe/klotthe-ruby-blue-conversational-cotton-300-tc-king-fine-bedsheet-with-2-pillow-covers-250-x-220-cm/19917876/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-38831890-KING,INDRA FAB PRIVATE LIMITED,BLR_FC,140,2026-07-26,MYN-PO-2026-1020,issued,INR,772,108080,Myntra,Sangria,Sangria Blue 300 TC King Double Bedsheet With 2 Pillow Covers – 2.74 m × 2.74 m,Home & Living,King,Blue,38831890,INDRA FAB PRIVATE LIMITED,https://www.myntra.com/bedsheets/sangria/sangria-blue-300-tc-king-double-bedsheet-with-2-pillow-covers-274-m-x-274-m/38831890/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
